Data table for: Income inequality, Gini coefficient, 0 = complete equality; 1 = complete inequality, 2007 â€“ 2017
Location 	 2007	2008	 2009	2010	2011	2012	2013	2014	2015	2016	2017
Australia						0.326		0.337		0.330	
Austria	0.284	0.281	0.289	0.280	0.281	0.275	0.279	0.274	0.276	0.284	
Belgium	0.277	0.266	0.272	0.267	0.270	0.265	0.265	0.266	0.268	0.266	
Brazil			0.485		0.483		0.470				
Canada	0.317	0.315	0.316	0.316	0.313	0.317	0.320	0.313	0.318	0.307	0.310
Chile			0.480		0.471		0.465		0.454		0.460
China (People's Republic of)					0.514						
Costa Rica				0.472	0.480	0.483	0.494	0.485	0.479	0.484	0.480
Czech Republic	0.256	0.259	0.257	0.259	0.257	0.253	0.259	0.257	0.258	0.253	
Denmark					0.251	0.249	0.254	0.256	0.263	0.261	
Estonia							0.357	0.346	0.330	0.314	
Finland	0.269	0.264	0.259	0.264	0.264	0.260	0.262	0.257	0.260	0.259	0.266
France						0.305	0.291	0.293	0.295	0.291	
Germany		0.285			0.291	0.289	0.292	0.289	0.293	0.294	
Greece	0.329	0.328	0.330	0.336	0.333	0.338	0.342	0.339	0.340	0.333	
Hungary	0.257	0.246	0.241	0.266	0.270	0.280	0.277	0.282	0.284	0.282	
Iceland	0.286	0.305	0.266	0.249	0.252	0.253	0.241	0.246	0.255		
India					0.495						
Ireland	0.304	0.295	0.312	0.298	0.307	0.310	0.308	0.298	0.297	0.309	
Israel					0.371	0.371	0.360	0.365	0.360	0.346	0.344
Italy	0.313	0.317	0.315	0.327	0.327	0.330	0.325	0.326	0.333	0.328	
Japan			0.336			0.330			0.339		
Korea									0.352	0.355	0.355
Latvia	0.374	0.373	0.354	0.347	0.352	0.347	0.351	0.350	0.346	0.346	
Lithuania	0.338	0.358	0.366	0.329	0.322	0.350	0.352	0.381	0.372	0.378	
Luxembourg									0.306	0.304	
Mexico						0.457		0.459		0.458	
Netherlands					0.289	0.288	0.287	0.303	0.288	0.285	
New Zealand					0.323	0.333		0.349			
Norway		0.250	0.245	0.249	0.250	0.253	0.252	0.257	0.272	0.262	0.262
Poland	0.316	0.308	0.303	0.305	0.301	0.297	0.299	0.298	0.292	0.284	
Portugal	0.361	0.355	0.337	0.341	0.337	0.337	0.341	0.338	0.336	0.331	
Russia					0.376					0.331	
Slovak Republic	0.245	0.256	0.264	0.263	0.261	0.250	0.269	0.247	0.251	0.241	
Slovenia	0.239	0.234	0.245	0.244	0.244	0.249	0.254	0.251	0.250	0.244	
South Africa									0.620		
Spain	0.324	0.327	0.333	0.339	0.341	0.334	0.345	0.344	0.345	0.341	
Sweden							0.268	0.274	0.278	0.282	0.282
Switzerland	0.312	0.306	0.297	0.298	0.289	0.285	0.295	0.297	0.296		
Turkey					0.403	0.399	0.390	0.398	0.404		
United Kingdom	0.373	0.369	0.374	0.351	0.354	0.351	0.358	0.356	0.360	0.351	0.357
United States						0.396	0.394	0.390	0.391	0.390	
